run_id,bank_id,seed_id,route_pair_id,matching_regime,retrieval_backend,slot_index,A_paper_id,B_paper_id,cost_units,lexical_relevance_gap,lexical_bm25_gap,length_z_gap,subfield_disagreement,date_gap_days,dense_gap,embedding_distance
F0R-9f61bff4538465a7a96f,271c7ad2d9a888ba98e0191e6a4eabf75bd064615efd7200b093efefb9d57c61,SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,7,ICLR2025_9aa4e5caaf6d62767787500ee487c7fb,ICLR2025_ced46a50befedcb884ccf0cbe8c3ad23,148572,0.011228658934515079,0.08990186547578138,0.8144444934724,0,,,
F0R-9f61bff4538465a7a96f,271c7ad2d9a888ba98e0191e6a4eabf75bd064615efd7200b093efefb9d57c61,SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,8,ICLR2025_ca642f8e1174012d67c05c1c9f969644,ICLR2025_3be14af22f0b311325664277f48111f4,9734,0.004287310871858914,0.008498863133627355,0.04072222467361997,0,,,
F0R-9f61bff4538465a7a96f,271c7ad2d9a888ba98e0191e6a4eabf75bd064615efd7200b093efefb9d57c61,SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,9,ICLR2025_d0074bea472f8b9b839fa2d50ce67595,ICLR2025_cbbb65dc108e8ac2f82cba25bc5992fc,531730,0.039716156941001377,0.054182927024461924,2.36188903106996,1,,,
F0R-9f61bff4538465a7a96f,271c7ad2d9a888ba98e0191e6a4eabf75bd064615efd7200b093efefb9d57c61,SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,10,ICLR2025_d41760ec1e2db105e63e98393648c763,ICLR2025_dad66bb085bab14fbca07cfa4271f00b,30056,0.013775122601641737,0.0032044058201725623,0.16288889869448003,0,,,
F0R-9f61bff4538465a7a96f,271c7ad2d9a888ba98e0191e6a4eabf75bd064615efd7200b093efefb9d57c61,SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,11,ICLR2025_de4ce91dfe56b919ee1c228d6a78f866,ICLR2025_8de035590685bf7389da6a769fbcecce,248258,0.011896036394883652,0.05874425318497267,0.5293889207570601,1,,,
F0R-9f61bff4538465a7a96f,271c7ad2d9a888ba98e0191e6a4eabf75bd064615efd7200b093efefb9d57c61,SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,12,ICLR2025_ec0c9ca85b4ea49c7ebfb503cf55f2ae,ICLR2025_d033407a1a4b7a75cd5f9e4575ad9fb5,83437,0.00018073121211130416,0.21132790881884328,0.20361112336809994,0,,,
F0R-9f61bff4538465a7a96f,0c41e9936cfaf7ebbdcee5703d4f3fa923265b545fd3bd1f94b3b42972e816bd,SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R3,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,1,ICLR2025_52fc02778520b240c57046b3f7588ba1,ICLR2025_bee8c2bc757f6bbc3efd7cf1b979f0c9,34319,0.007140044451825131,0.02229218358070928,0.17497870075979688,0,,,
F0R-9f61bff4538465a7a96f,0c41e9936cfaf7ebbdcee5703d4f3fa923265b545fd3bd1f94b3b42972e816bd,SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R3,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,2,ICLR2025_8cb240de90aa20207db944c6c88a7cc0,ICLR2025_ad36c2cfc423e75c6d68d751a955b22e,85083,0.010136402274222127,0.06367214492195528,0.43744675189949217,0,,,
F0R-9f61bff4538465a7a96f,2dadb84a0daca6ec20d9bc3c264462cd3bb34430015dd450f18ae6173484060a,SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R4,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,1,ICLR2025_70a06501001e1820fd1eb9ee821302d2,ICLR2025_ad36c2cfc423e75c6d68d751a955b22e,217755,0.0072451911387463735,0.00357097139664464,1.4288461274353408,0,,,
F0R-9f61bff4538465a7a96f,3fec1e21bb89687c7473f49953bf30ce04921d6e2f6afdef95f9f19baf5831db,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R1,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,1,ICLR2025_0ae94013da7cd459402fd77874e09ee3,ICLR2025_50d4f8ff0416cedfe0771b7ad947a197,50969,0.024248934132788752,0.1439160441952686,0.043354975305985644,0,,,
