seed_id,route_pair_id,n_A,n_B,admissible_edges,max_matched_slots,median_cost_units,cell_status,bank_id,unmatched_count
SEED_ICLR2026_00ba1ebd7939b6324427a7372ac81abb,R1,43,1,41,1,102214,MEASURED,2fe0bd90b9596477a38f3f70125891725989e9d21c05cbb91d89fbd262aa21a8,42
SEED_ICLR2026_00ba1ebd7939b6324427a7372ac81abb,R2,43,4,163,4,92605.0,MEASURED,0528f08904364e82da66214f85b3e2c029a42649bd334b6826e08cb70d20a28f,39
SEED_ICLR2026_00ba1ebd7939b6324427a7372ac81abb,R3,43,4,164,4,98510.0,MEASURED,443dcef71a9f42b2e5de61ba32a39e7481724fdf455f23d7e0e29200d6b82c03,39
SEED_ICLR2026_00ba1ebd7939b6324427a7372ac81abb,R4,1,4,4,1,234349,MEASURED,2475cb406bfc3dd1f8ed5c668ca14e3d4ec9fdc487154b1b9fddfdbd05f37d40,3
SEED_ICLR2026_00c489c74bc720a20b3b2cb2b9c308ae,R1,20,1,20,1,102953,MEASURED,8bb2f44132f3dff41ee571d222ec66bf0151a2d27220cbd33095ab5d23bb2bd1,19
SEED_ICLR2026_00c489c74bc720a20b3b2cb2b9c308ae,R2,20,2,29,2,71718.0,MEASURED,e333286661012ef56411660b0580e7fa7cfbd65528794adf328541a030f40537,18
SEED_ICLR2026_00c489c74bc720a20b3b2cb2b9c308ae,R3,20,1,16,1,38282,MEASURED,5a6aa3c38e367386605e5e02b0ab15cca69e43b3139ee7e54d5dbc526f8a5b2f,19
SEED_ICLR2026_00c489c74bc720a20b3b2cb2b9c308ae,R4,1,1,1,1,348726,MEASURED,2cf5a99fde68c337d2cf9378964b1d113b7bbd26d7cd3efb9e8da89edf06cab5,0
SEED_ICLR2026_00c5c0f92581f8b8230c9f349126a73a,R1,15,0,0,0,,MEASURED,e8676f4b32ada98f7d96ccf90d35066e53d12236be46c6b1aa048ed260f9ceb1,15
SEED_ICLR2026_00c5c0f92581f8b8230c9f349126a73a,R2,15,6,84,6,155197.5,MEASURED,198f599c71b8c1f85a057b38babe00af2a202dfeb6e823f6d4120e7ea4be741e,9
